Dominant Colour Name,median
antiquewhite,2.699448672047795
beige,2.30120987096624
bisque,2.453289809841161
black,1.908861714977368
brown,1.908861714977368
burlywood,2.1696510932887363
cadetblue,2.6971128939035145
chocolate,2.298285637192615
coral,1.908861714977368
cornflowerblue,3.7930768243549533
crimson,3.2831816742227615
darkcyan,2.703898090299559
darkgray,2.9936261448386254
darkkhaki,2.6935580269551123
darkolivegreen,2.4447050773718875
darksalmon,2.9257858479882506
darkseagreen,4.525113718988742
darkslateblue,2.709731991389688
darkslategray,2.699391928045241
dimgray,2.68259120580551
dodgerblue,4.336720112220727
firebrick,2.295726460391439
gainsboro,1.908861714977368
gold,3.2875551860052905
goldenrod,3.481593503057516
gray,2.6890518647007946
indianred,2.6858215352531523
khaki,2.707185163749755
lavender,1.908861714977368
lightblue,3.0508218324392633
lightcoral,2.707185163749755
lightgray,2.639785396886873
lightpink,2.9718744337607426
lightsalmon,1.908861714977368
lightskyblue,1.908861714977368
lightslategray,3.3886246000386424
lightsteelblue,2.6935580269551123
linen,1.908861714977368
maroon,1.908861714977368
mediumaquamarine,1.908861714977368
mediumorchid,2.699448672047795
mediumseagreen,2.0568474770564906
mediumturquoise,2.0568474770564906
mediumvioletred,4.264619770144098
midnightblue,1.791287971640873
mintcream,2.709731991389688
mistyrose,3.1179083028084618
navajowhite,2.8841801159184164
olivedrab,2.3965209154478924
palegoldenrod,1.7214770785865035
palevioletred,4.123205766969567
peachpuff,2.6890518647007946
peru,2.6890518647007946
pink,4.338412191794747
plum,1.648906202780438
powderblue,2.8521371593433846
rosybrown,2.7026790014954374
royalblue,2.299594706242419
saddlebrown,2.66428392350747
salmon,3.2831816742227615
sandybrown,2.71630613829008
seagreen,4.378640767601051
sienna,2.6842063705293313
silver,2.7026790014954374
skyblue,2.699448672047795
slateblue,1.908861714977368
slategray,1.908861714977368
snow,2.6980641892094304
steelblue,2.709731991389688
tan,2.7026790014954374
thistle,2.210572155183641
tomato,3.165162827706429
wheat,2.1995989110163565
whitesmoke,2.073091396392289
yellowgreen,1.7214770785865035
