1 Author,median
fernando gaspar,2.6890518647007946
fernando lanhas,4.364697503900441
fernando silva ferreira,2.703898090299559
fernando verdugo,2.71630613829008
ferreira,2.6980641892094304
figueiredo sobral,2.453289809841161
filipe branco duarte,2.71630613829008
filipe rocha da silva,1.7423197384824127
francis smith,2.6858215352531523
francisco alberto pereira vilaça,2.6980641892094304
francisco barceló,2.709731991389688
francisco d'almada (francisco simões),2.6516914244208984
francisco de carvalho e rêgo,2.68259120580551
francisco geraldo,2.709731991389688
francisco ginjeira,0.0
francisco laranjo,2.68259120580551
francisco relógio,3.785816070952728
francisco santos,2.6858215352531523
francisco simões,2.671169397807981
francisco valença,1.8108707588600534
fred kradolfer,2.6935580269551123
fátima melo,0.0
gabriela albergaria,2.71630613829008
garizo do carmo,2.6890518647007946
gerardo burmester,2.6890518647007946
germano santos,2.71630613829008
gil heitor cortesão,6.693514548329903
gil teixeira lopes,2.6980641892094304
gomes martins,2.68259120580551
gonzalez bravo,3.2245482267407195
gonçalo duarte,2.71630613829008
gonçalo van zeller,2.68259120580551
gracinda candeias,3.1488926944810633
granovsky,2.707185163749755
graziela albino,2.6858215352531523
graça morais,3.7722874474630657
graça pereira coutinho,2.6890518647007946
gregory fink,2.6890518647007946
guilherme parente,3.519405396108524
guima (antonio ferreira oliveira guimarães),2.6890518647007946
guy demun,2.71630613829008
gérard laplau,2.71630613829008
h. mourato,1.8108707588600534
hans hartung,2.707185163749755
hansi stael,3.31620610219268
hansi stael (von holstein),2.699448672047795
hein semke,4.264619770144098
heitor chichorro,2.6890518647007946
helder pereira,3.286481663532962
helena abreu,2.71630613829008
helena justino,2.6890518647007946
helena liz,2.951221809345816
helena pinto,2.7026790014954374
helena teles,2.6903276975074704
helena vaz,1.1785535404952658
henrique do vale,2.707185163749755
henrique manuel,2.019789166433959
henrique moreira,2.6890518647007946
henrique risques pereira,2.6890518647007946
henrique ruivo,1.1975645025967363
henrique silva,2.6858215352531523
hilário teixeira lopes,2.707185163749755
hirosuke watanuki,2.6890518647007946
hitoshi takemoto,2.6980641892094304
horta e costa,2.747959703609742
humberto marçal,0.0
idalina dionísio,2.71630613829008
ilberino santos,2.6935580269551123
ilda david,4.689960474195603
ilda reis,2.8747412156372754
ingo maurer,2.7130190648398838
inácio matsinhe,3.8153728005100938
irene costa,2.4932615192304035
isabel augusta,2.6980641892094304
isabel cabral ,4.930833578373925
isabel de goes,3.52243794394511
isabel garcia,2.7130190648398838
isabel laginhas,2.404193505210798
isabel mendes ferreira,2.709731991389688
isabel mourãonasc.,2.71630613829008
isabel r. braga,2.6858215352531523
isabel rodrigues,2.709731991389688
isabel saraiva,2.68259120580551
isabel torres,4.711160982921313
isac,2.6890518647007946
j. braz,2.6980641892094304
j. dâmaso,2.707185163749755
j. p. barata,2.7130190648398838
jacinto luís,1.7976246023896376
jackie catarino,2.6980641892094304
jaime isidoro,2.5980428480017332
james coignard,2.68259120580551
jaroslaw gruzewski,2.6980641892094304
jean baptiste valadié,2.709731991389688
jean espieux,2.6980641892094304
jeanclaude novaro,2.709731991389688
jeremy barlow,2.71630613829008
jim dine,2.71630613829008
jnah d'ávila costa,2.707185163749755
joan miró,2.6890518647007946
joana lucas,2.709731991389688
joana rosa,2.6980641892094304
joana salvador,2.9718744337607426
joaquim bento almeida,2.709731991389688
joaquim bravo,2.71630613829008
joaquim rodrigo,2.6903276975074704
joel linard,2.709731991389688
jorge bandeira,2.6980641892094304
jorge barradas,4.182721509556847
jorge curval,3.3168990574463937
jorge de almeida,2.71630613829008
jorge martins,2.8840798901776035
jorge mealha,2.699448672047795
jorge oliveira,2.6980641892094304
jorge pinheiro,1.7214770785865035
jorge portela,4.226710181701316
jorge ricciardi,2.696161598597599
jorge rodrigues,2.709731991389688
jorge vasconcelos,2.709731991389688
jorge vieira,2.6980641892094304
josef hoffmann,2.709731991389688
