,URL,Auction Number
574,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-519,519
454,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-518,518
228,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-517,517
283,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-516,516
293,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-515,515
566,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-514,514
219,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-513,513
137,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-512,512
473,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-511,511
10,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-510,510
317,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-509,509
33,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-508,508
351,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-507,507
266,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-506,506
414,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-505,505
96,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-504,504
409,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-503,503
115,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-502,502
494,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-501,501
403,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-500,500
66,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-499,499
105,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-498,498
413,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-497,497
245,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-496,496
485,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-495,495
509,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-494,494
234,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-493,493
306,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-492,492
153,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-491,491
513,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-490,490
170,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-489,489
238,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-488,488
126,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-487,487
34,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-486,486
546,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-485,485
572,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-484,484
247,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-483,483
578,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-482,482
516,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-481,481
517,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-480,480
120,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-479,479
49,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-478,478
486,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-477,477
227,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-476,476
483,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-475,475
489,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-474,474
394,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-473,473
534,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-472,472
298,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-471,471
55,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-470,470
